percentage_votos_centrao,ibge,municipio,pib_per_capita,uf,taxa_analfabetismo,Year
0.103759765625,1702406,ARRAIAS,3138.36,TO,30.7,2002
0.191687127323746,1702554,AUGUSTINOPOLIS,2227.81,TO,27.4,2002
0.0837666088965915,1702703,AURORA DO TOCANTINS,3104.15,TO,25.6,2002
0.4977750809061488,1702901,AXIXA DO TOCANTINS,2323.33,TO,31.5,2002
0.8629801144102425,1703008,BABACULANDIA,1683.87,TO,22.8,2002
0.8461538461538461,1703073,BARRA DO OURO,1587.72,TO,32.4,2002
0.1465753424657534,1703107,BARROLANDIA,3525.23,TO,21.3,2002
0.783625730994152,1703206,BERNARDO SAYAO,3624.42,TO,15.7,2002
0.8960674157303371,1703602,BRASILANDIA DO TOCANTINS,3500.07,TO,19.2,2002
0.4243311036789298,1703701,BREJINHO DE NAZARE,3711.16,TO,20.6,2002
0.4272997032640949,1703800,BURITI DO TOCANTINS,1806.73,TO,29.6,2002
0.4424212598425197,1703842,CAMPOS LINDOS,6131.38,TO,25.6,2002
0.0763313609467455,1703867,CARIRI DO TOCANTINS,4822.06,TO,19.1,2002
0.8710166919575114,1703883,CARMOLANDIA,3370.33,TO,28.5,2002
0.2458677685950413,1703891,CARRASCO BONITO,1575.93,TO,35.8,2002
0.3285446595877576,1703909,CASEARA,2754.39,TO,23.2,2002
0.1718446601941747,1704600,CHAPADA DE AREIA,3243.14,TO,15.5,2002
0.225938566552901,1705102,CHAPADA DA NATIVIDADE,2465.08,TO,19.9,2002
0.7228643434431216,1705508,COLINAS DO TOCANTINS,4689.55,TO,17.1,2002
0.162037037037037,1705557,COMBINADO,2482.66,TO,28.2,2002
0.2190184049079754,1705607,CONCEICAO DO TOCANTINS,2329.16,TO,28.9,2002
0.0500799147575919,1706100,CRISTALANDIA,3940.5,TO,16.4,2002
0.0282131661442006,1706258,CRIXAS DO TOCANTINS,4905.66,TO,11.5,2002
0.5741626794258373,1706506,DARCINOPOLIS,2207.48,TO,24.2,2002
0.1966978885537386,1707009,DIANOPOLIS,3269.66,TO,20.9,2002
0.1598956392098397,1707108,DIVINOPOLIS DO TOCANTINS,3130.95,TO,20.6,2002
0.4144144144144144,1707207,DOIS IRMAOS DO TOCANTINS,2590.78,TO,18.6,2002
0.0205223880597014,1707306,DUERE,5201.47,TO,20.8,2002
0.2060353798126951,1707652,FIGUEIROPOLIS,4753.93,TO,16.3,2002
0.2266906044284859,1708205,FORMOSO DO ARAGUAIA,5695.35,TO,14.4,2002
0.4010282776349614,1708304,GOIANORTE,2463.88,TO,22.5,2002
0.2985261054209343,1709005,GOIATINS,1667.58,TO,32.4,2002
0.5057046270864145,1709302,GUARAI,3873.24,TO,14.1,2002
0.1682682814454024,1709500,GURUPI,5856.04,TO,8.7,2002
0.3038857522417801,1710508,ITACAJA,2447.17,TO,27.6,2002
0.1060758643840214,1710706,ITAGUATINS,2119.57,TO,29.2,2002
0.7857627118644068,1710904,ITAPIRATINS,2126.37,TO,25.0,2002
0.553314121037464,1711100,ITAPORA DO TOCANTINS,4606.12,TO,23.7,2002
0.2097859327217125,1711506,JAU DO TOCANTINS,3312.29,TO,22.8,2002
0.4955312810327706,1711803,JUARINA,2521.41,TO,13.6,2002
0.405440414507772,1711902,LAGOA DA CONFUSAO,6854.22,TO,20.0,2002
0.45004500450045,1711951,LAGOA DO TOCANTINS,1940.12,TO,20.8,2002
0.2921810699588477,1712157,LAVANDEIRA,8096.15,TO,30.5,2002
0.6303142329020333,1712405,LIZARDA,1858.36,TO,25.7,2002
0.6141078838174274,1712454,LUZINOPOLIS,3301.17,TO,17.6,2002
0.1677631578947368,1712504,MARIANOPOLIS DO TOCANTINS,3565.64,TO,14.6,2002
0.266553480475382,1712702,MATEIROS,5579.12,TO,35.5,2002
